Date,S&P 500 Index,NASDAQ Index,Gold Price (USD),Oil Price (USD),Dollar Index,Target
2022-01-01,4000,15000,1805,72,90.0,0
2022-01-02,4005,15010,1795,68,90.1,1
2022-01-03,4010,15020,1805,72,90.2,0
2022-01-04,4015,15030,1795,68,90.3,1
2022-01-05,4020,15040,1805,72,90.4,0
2022-01-06,4025,15050,1795,68,90.5,1
2022-01-07,4030,15060,1805,72,90.6,0
2022-01-08,4035,15070,1795,68,90.7,1
2022-01-09,4040,15080,1805,72,90.8,0
2022-01-10,4045,15090,1795,68,90.9,1
2022-01-11,4050,15100,1805,72,91.0,0
2022-01-12,4055,15110,1795,68,91.1,1
2022-01-13,4060,15120,1805,72,91.2,0
2022-01-14,4065,15130,1795,68,91.3,1
2022-01-15,4070,15140,1805,72,91.4,0
2022-01-16,4075,15150,1795,68,91.5,1
2022-01-17,4080,15160,1805,72,91.6,0
2022-01-18,4085,15170,1795,68,91.7,1
2022-01-19,4090,15180,1805,72,91.8,0
2022-01-20,4095,15190,1795,68,91.9,1
2022-01-21,4100,15200,1805,72,92.0,0
2022-01-22,4105,15210,1795,68,92.1,1
2022-01-23,4110,15220,1805,72,92.2,0
2022-01-24,4115,15230,1795,68,92.3,1
2022-01-25,4120,15240,1805,72,92.4,0
2022-01-26,4125,15250,1795,68,92.5,1
2022-01-27,4130,15260,1805,72,92.6,0
2022-01-28,4135,15270,1795,68,92.7,1
2022-01-29,4140,15280,1805,72,92.8,0
2022-01-30,4145,15290,1795,68,92.9,1
2022-01-31,4150,15300,1805,72,93.0,0
2022-02-01,4155,15310,1795,68,93.1,1
2022-02-02,4160,15320,1805,72,93.2,0
2022-02-03,4165,15330,1795,68,93.3,1
2022-02-04,4170,15340,1805,72,93.4,0
2022-02-05,4175,15350,1795,68,93.5,1
2022-02-06,4180,15360,1805,72,93.6,0
2022-02-07,4185,15370,1795,68,93.7,1
2022-02-08,4190,15380,1805,72,93.8,0
2022-02-09,4195,15390,1795,68,93.9,1
2022-02-10,4200,15400,1805,72,94.0,0
2022-02-11,4205,15410,1795,68,94.1,1
2022-02-12,4210,15420,1805,72,94.2,0
2022-02-13,4215,15430,1795,68,94.3,1
2022-02-14,4220,15440,1805,72,94.4,0
2022-02-15,4225,15450,1795,68,94.5,1
2022-02-16,4230,15460,1805,72,94.6,0
2022-02-17,4235,15470,1795,68,94.7,1
2022-02-18,4240,15480,1805,72,94.8,0
2022-02-19,4245,15490,1795,68,94.9,1
2022-02-20,4250,15500,1805,72,95.0,0
2022-02-21,4255,15510,1795,68,95.1,1
2022-02-22,4260,15520,1805,72,95.2,0
2022-02-23,4265,15530,1795,68,95.3,1
2022-02-24,4270,15540,1805,72,95.4,0
2022-02-25,4275,15550,1795,68,95.5,1
2022-02-26,4280,15560,1805,72,95.6,0
2022-02-27,4285,15570,1795,68,95.7,1
2022-02-28,4290,15580,1805,72,95.8,0
2022-03-01,4295,15590,1795,68,95.9,1
2022-03-02,4300,15600,1805,72,96.0,0
2022-03-03,4305,15610,1795,68,96.1,1
2022-03-04,4310,15620,1805,72,96.2,0
2022-03-05,4315,15630,1795,68,96.3,1
2022-03-06,4320,15640,1805,72,96.4,0
2022-03-07,4325,15650,1795,68,96.5,1
2022-03-08,4330,15660,1805,72,96.6,0
2022-03-09,4335,15670,1795,68,96.7,1
2022-03-10,4340,15680,1805,72,96.8,0
2022-03-11,4345,15690,1795,68,96.9,1
2022-03-12,4350,15700,1805,72,97.0,0
2022-03-13,4355,15710,1795,68,97.1,1
2022-03-14,4360,15720,1805,72,97.2,0
2022-03-15,4365,15730,1795,68,97.3,1
2022-03-16,4370,15740,1805,72,97.4,0
2022-03-17,4375,15750,1795,68,97.5,1
2022-03-18,4380,15760,1805,72,97.6,0
2022-03-19,4385,15770,1795,68,97.7,1
2022-03-20,4390,15780,1805,72,97.8,0
2022-03-21,4395,15790,1795,68,97.9,1
2022-03-22,4400,15800,1805,72,98.0,0
2022-03-23,4405,15810,1795,68,98.1,1
2022-03-24,4410,15820,1805,72,98.2,0
2022-03-25,4415,15830,1795,68,98.3,1
2022-03-26,4420,15840,1805,72,98.4,0
2022-03-27,4425,15850,1795,68,98.5,1
2022-03-28,4430,15860,1805,72,98.6,0
2022-03-29,4435,15870,1795,68,98.7,1
2022-03-30,4440,15880,1805,72,98.8,0
2022-03-31,4445,15890,1795,68,98.9,1
2022-04-01,4450,15900,1805,72,99.0,0
2022-04-02,4455,15910,1795,68,99.1,1
2022-04-03,4460,15920,1805,72,99.2,0
2022-04-04,4465,15930,1795,68,99.3,1
2022-04-05,4470,15940,1805,72,99.4,0
2022-04-06,4475,15950,1795,68,99.5,1
2022-04-07,4480,15960,1805,72,99.6,0
2022-04-08,4485,15970,1795,68,99.7,1
2022-04-09,4490,15980,1805,72,99.8,0
2022-04-10,4495,15990,1795,68,99.9,1
